team_home,team_away,date,odds1,oddsX,odds2,result
Palmeiras,São Paulo,2025-03-13,2.75,3.13,1.6,X
Maritimo,Boavista,2025-03-22,1.91,3.16,2.8,?
Fluminense,Sao Paulo,2025-03-24,2.82,3.4,2.28,?
Bologna,Sampdoria,2025-02-28,2.93,3.03,3.26,1
Hellas Verona,Torino,2025-02-23,2.8,3.19,2.4,X
AC Milan,Juventus,2025-03-29,3.32,2.85,2.55,?
Sevilla,Real Betis,2025-03-15,1.75,3.38,2.06,2
Roma,Napoli,2025-04-09,3.49,2.73,3.11,?
Celtic,Rangers,2025-03-14,1.93,3.26,2.04,2
Villarreal,Real Betis,2025-02-24,2.12,2.53,1.68,2
FC Porto,Sporting CP,2025-03-12,1.95,3.41,3.24,1
VfB Stuttgart,Borussia Dortmund,2025-02-26,2.58,2.95,2.67,1
Leeds United,Aston Villa,2025-03-17,2.68,3.08,3.07,X
Juventus,Roma,2025-04-07,2.67,3.42,1.82,?
Marseille,Nice,2025-04-01,3.14,2.64,1.63,?
Maritimo,Boavista,2025-03-02,1.89,2.79,1.77,1
Marseille,Nice,2025-03-17,3.03,2.66,2.39,1
Everton,Newcastle United,2025-04-09,2.21,2.52,1.88,?
Fluminense,Sao Paulo,2025-02-17,2.71,3.16,1.79,1
Barcelona,Real Madrid,2025-04-02,2.62,2.76,2.09,?
Bayern Munich,Borussia Dortmund,2025-02-25,2.31,2.69,3.3,2
Manchester City,Chelsea,2025-02-20,2.06,2.99,2.55,2
Valencia,Villarreal,2025-03-07,2.03,2.73,1.99,2
Bayern Munich,Borussia Dortmund,2025-02-17,3.31,3.09,1.88,X
Manchester United,Manchester City,2025-03-30,2.26,2.82,2.44,?
Manchester United,Manchester City,2025-02-27,2.66,2.69,2.42,1
Manchester United,Manchester City,2025-03-28,2.33,3.14,2.27,?
Flamengo,Vasco da Gama,2025-04-09,2.99,3.22,2.63,?
Palmeiras,São Paulo,2025-03-13,2.61,3.35,2.14,2
Monza,Spezia,2025-03-06,2.72,2.81,2.44,X
Juventus,Roma,2025-02-24,1.63,3.34,2.59,1
Marseille,Nice,2025-02-23,1.99,3.38,2.51,1
Persebaya,Arema FC,2025-04-07,1.84,2.58,2.62,?
Bayer Leverkusen,Bayern Munich,2025-03-19,3.13,2.56,2.41,?
Rangers,Aberdeen,2025-04-16,2.1,2.51,3.34,?
Udinese,Salernitana,2025-04-13,2.41,2.7,2.06,?
Juventus,Roma,2025-04-06,2.18,2.66,2.75,?
Corinthians,Fluminense,2025-03-13,2.12,2.78,2.23,X
Palmeiras,São Paulo,2025-02-19,3.49,3.05,2.58,1
Milan,Inter,2025-04-06,2.42,2.54,2.64,?
Real Madrid,Valencia,2025-04-13,1.97,2.69,2.5,?
Paris Saint-Germain,Marseille,2025-03-07,1.58,3.38,2.75,1
Udinese,Salernitana,2025-03-16,1.63,2.58,3.21,1
Roma,Napoli,2025-03-03,2.27,3.44,1.77,2
Tottenham,West Ham United,2025-04-08,1.94,2.73,2.78,?
Maritimo,Boavista,2025-04-04,3.28,3.37,1.64,?
AC Milan,Juventus,2025-03-08,1.56,2.9,2.46,X
Santos,Gremio,2025-02-18,2.32,2.59,3.06,X
Fiorentina,Atalanta,2025-02-28,2.81,2.59,2.27,1
Valencia,Villarreal,2025-03-05,2.49,3.37,2.11,2
Fiorentina,Atalanta,2025-03-12,3.26,3.18,2.71,2
Fluminense,Sao Paulo,2025-03-01,3.03,2.7,3.04,1
FC Porto,Sporting CP,2025-04-03,3.12,3.14,2.94,?
Sevilla,Real Betis,2025-03-13,3.5,2.93,2.81,X
Sevilla,Real Betis,2025-03-21,3.28,2.85,2.11,?
Manchester United,Manchester City,2025-03-04,2.4,3.25,1.78,X
Santos,Gremio,2025-03-13,2.21,3.46,2.77,2
Sevilla,Real Betis,2025-04-13,1.57,3.44,1.6,?
AC Milan,Juventus,2025-04-16,2.71,3.28,2.07,?
São Paulo,Internacional,2025-04-01,2.44,2.63,1.84,?
Boca Juniors,River Plate,2025-03-28,1.63,3.05,3.06,?
Lazio,Fiorentina,2025-03-25,2.19,2.62,3.19,?
Vélez Sarsfield,Boca Juniors,2025-02-25,2.1,3.3,2.94,2
Real Sociedad,Athletic Bilbao,2025-03-08,2.38,3.47,3.21,2
Fiorentina,Atalanta,2025-04-03,3.32,2.59,1.59,?
Celtic,Rangers,2025-03-17,1.73,3.13,1.86,2
Sevilla,Real Betis,2025-04-17,1.69,2.67,2.76,?
Palmeiras,Corinthians,2025-03-11,2.05,3.26,2.81,X
Barcelona,Real Madrid,2025-04-09,2.18,2.93,2.76,?
FC Porto,Sporting CP,2025-04-17,3.05,2.71,2.88,?
Marseille,Nice,2025-02-28,2.64,3.09,2.19,2
Leeds United,Aston Villa,2025-03-11,2.51,3.15,1.63,2
Bayern Munich,Borussia Dortmund,2025-04-17,2.09,3.25,2.62,?
Sassuolo,Empoli,2025-03-11,2.23,3.22,2.14,2
RB Leipzig,Wolfsburg,2025-04-15,2.79,3.01,2.18,?
Juventus,Roma,2025-04-07,1.54,2.69,2.23,?
Real Madrid,Valencia,2025-03-17,2.25,3.38,1.89,X
Chelsea,Liverpool,2025-03-21,3.22,3.32,3.39,?
Vélez Sarsfield,Boca Juniors,2025-03-26,3.2,3.14,2.05,?
Persebaya,Arema FC,2025-03-05,2.49,2.66,2.8,1
Rangers,Aberdeen,2025-04-07,2.04,3.15,1.62,?
Valencia,Villarreal,2025-03-16,2.44,3.35,3.15,1
Atlético Madrid,Sevilla,2025-03-22,2.29,2.56,2.96,?
Parma,Verona,2025-04-04,2.0,3.33,3.48,?
VfB Stuttgart,Borussia Dortmund,2025-03-30,2.54,3.49,3.15,?
AC Milan,Juventus,2025-03-29,3.45,2.9,1.61,?
Real Madrid,Valencia,2025-03-08,2.6,2.92,2.36,2
Santos,Gremio,2025-02-19,1.72,3.48,2.63,1
Barcelona,Real Madrid,2025-02-24,2.27,2.86,3.34,X
Bologna,Sampdoria,2025-03-10,3.1,2.65,2.42,1
Hellas Verona,Torino,2025-03-21,1.72,2.59,3.28,?
Tottenham,West Ham United,2025-03-04,1.74,2.98,2.43,2
Hellas Verona,Torino,2025-03-12,1.54,2.72,2.62,2
Bayer Leverkusen,Bayern Munich,2025-02-17,3.15,3.45,3.45,1
Manchester City,Chelsea,2025-04-05,2.24,3.1,2.39,?
Sassuolo,Empoli,2025-04-12,2.64,2.81,2.97,?
Milan,Inter,2025-03-29,1.95,2.76,1.52,?
Borussia Monchengladbach,Eintracht Frankfurt,2025-03-25,2.77,2.55,2.55,?
Parma,Verona,2025-02-24,2.21,3.2,2.52,1
VfB Stuttgart,Borussia Dortmund,2025-03-21,1.83,2.9,1.72,?
Corinthians,Flamengo,2025-03-02,2.04,3.07,3.33,2
Udinese,Salernitana,2025-03-09,1.63,2.59,2.86,2
Maritimo,Boavista,2025-03-15,1.8,3.21,3.27,2
Celtic,Rangers,2025-04-17,2.61,2.95,2.93,?
Everton,Newcastle United,2025-03-09,2.86,2.65,1.84,X
VfB Stuttgart,Borussia Dortmund,2025-03-15,2.38,2.91,3.42,X
VfB Stuttgart,Borussia Dortmund,2025-03-28,2.02,2.98,2.86,?
Persebaya,Arema FC,2025-03-12,3.17,3.0,2.13,1
Real Sociedad,Athletic Bilbao,2025-03-22,3.02,2.92,1.99,?
Barcelona,Real Madrid,2025-04-17,2.55,3.45,1.83,?
Valencia,Villarreal,2025-04-15,1.72,3.38,3.36,?
Real Sociedad,Athletic Bilbao,2025-02-26,2.95,2.86,1.58,1
Bayern Munich,Borussia Dortmund,2025-02-21,1.83,3.0,3.49,X
Corinthians,Flamengo,2025-03-23,3.48,2.63,1.8,?
Lazio,Fiorentina,2025-04-08,2.03,2.85,2.55,?
PSG,Lyon,2025-03-31,2.24,3.41,2.67,?
Tottenham,West Ham United,2025-04-04,2.54,2.97,3.37,?
Fluminense,Sao Paulo,2025-04-03,2.63,3.32,3.19,?
Sassuolo,Empoli,2025-03-24,1.83,2.96,3.37,?
Barcelona,Real Madrid,2025-04-01,2.23,3.39,1.82,?
Sevilla,Real Betis,2025-03-16,2.1,2.6,1.7,X
Vélez Sarsfield,Boca Juniors,2025-04-17,2.35,3.29,2.05,?
Flamengo,Vasco da Gama,2025-04-11,1.55,3.38,2.32,?
Udinese,Salernitana,2025-02-26,1.92,2.6,1.66,X
Real Madrid,Valencia,2025-03-21,3.2,3.44,3.29,?
Vélez Sarsfield,Boca Juniors,2025-03-26,2.8,3.09,2.49,?
Atlético Madrid,Sevilla,2025-03-12,1.78,2.79,2.33,1
Napoli,Lazio,2025-02-16,1.97,3.4,3.27,2
Torino,Cagliari,2025-03-03,3.02,2.54,2.96,X
Manchester United,Manchester City,2025-03-09,3.29,3.03,1.67,X
Paris Saint-Germain,Marseille,2025-03-03,2.97,2.66,2.48,1
Real Madrid,Valencia,2025-02-23,2.18,2.86,2.19,2
Manchester City,Chelsea,2025-03-01,2.13,3.13,3.21,X
Napoli,Lazio,2025-03-26,2.67,2.56,2.56,?
Udinese,Salernitana,2025-03-02,2.7,3.09,2.79,1
Palmeiras,Corinthians,2025-03-06,2.84,2.96,3.06,1
Palmeiras,São Paulo,2025-02-16,3.43,2.53,1.68,2
Bayern Munich,Borussia Dortmund,2025-03-05,3.24,2.89,3.03,1
Atlético Madrid,Sevilla,2025-03-07,1.55,3.44,2.77,1
Palmeiras,São Paulo,2025-04-14,2.87,2.59,1.51,?
Paris Saint-Germain,Marseille,2025-04-07,2.09,2.6,2.53,?
Bayer Leverkusen,Bayern Munich,2025-03-28,3.13,3.5,3.22,?
Milan,Inter,2025-04-10,1.71,2.99,2.02,?
Flamengo,Vasco da Gama,2025-02-28,2.41,2.55,2.4,2
Manchester United,Manchester City,2025-03-11,2.36,3.41,2.18,1
Milan,Inter,2025-03-01,2.27,2.7,2.93,2
Milan,Inter,2025-02-27,3.45,2.93,3.31,2
FC Porto,Sporting CP,2025-03-26,1.94,2.53,2.06,?
Lyon,Lille,2025-03-26,1.91,3.2,2.6,?
Marseille,Nice,2025-04-02,3.13,3.45,2.61,?
Paris Saint-Germain,Marseille,2025-03-28,1.6,3.16,2.02,?
Celtic,Rangers,2025-03-27,3.34,3.24,3.04,?
Arsenal,Tottenham,2025-04-17,2.63,3.23,1.97,?
São Paulo,Internacional,2025-02-22,3.17,3.13,1.79,X
Santos,Gremio,2025-04-10,2.12,2.8,1.8,?
Parma,Verona,2025-03-15,2.06,3.17,1.69,X
Benfica,Portimonense,2025-03-24,1.92,3.19,3.31,?
Parma,Verona,2025-04-01,2.63,2.9,1.83,?
Palmeiras,São Paulo,2025-04-17,2.44,3.48,2.39,?
RB Leipzig,Wolfsburg,2025-03-25,2.36,2.95,1.87,?
Arsenal,Tottenham,2025-03-01,3.02,2.74,3.22,1
Parma,Verona,2025-03-27,2.49,3.35,2.3,?
Napoli,Lazio,2025-04-14,2.11,3.15,2.44,?
Boca Juniors,River Plate,2025-03-26,2.79,2.57,3.19,?
Valencia,Villarreal,2025-03-17,2.66,2.78,2.78,X
Boca Juniors,River Plate,2025-03-20,2.57,3.02,1.74,?
Sassuolo,Empoli,2025-02-21,2.0,2.99,1.5,2
FC Porto,Sporting CP,2025-03-01,1.66,3.09,2.21,1
Benfica,Portimonense,2025-04-01,2.33,2.53,2.55,?
Palmeiras,Corinthians,2025-04-08,2.69,3.28,1.78,?
Arsenal,Tottenham,2025-03-05,3.28,3.29,2.77,2
Marseille,Nice,2025-02-25,2.95,3.32,2.65,2
Santos,Gremio,2025-03-14,3.38,2.57,3.42,2
Lazio,Inter,2025-04-04,3.48,3.06,2.66,?
Fluminense,Sao Paulo,2025-04-17,3.01,2.52,1.62,?
Atlético Madrid,Sevilla,2025-03-04,1.64,3.25,3.13,1
AC Milan,Napoli,2025-02-22,3.17,3.24,3.2,1
Tottenham,West Ham United,2025-03-28,2.86,2.55,2.06,?
Hellas Verona,Torino,2025-04-10,3.22,3.46,1.92,?
Corinthians,Flamengo,2025-04-09,2.32,3.4,1.82,?
Lazio,Inter,2025-04-14,2.05,3.04,2.89,?
Fiorentina,Atalanta,2025-04-08,2.01,2.97,2.91,?
VfB Stuttgart,Borussia Dortmund,2025-03-28,2.75,2.64,2.89,?
Rangers,Aberdeen,2025-03-10,1.78,3.46,2.16,X
Bayern Munich,Borussia Dortmund,2025-02-23,2.49,3.3,2.25,2
PSG,Lyon,2025-02-16,2.82,2.86,3.41,2
Manchester United,Manchester City,2025-04-02,1.6,2.79,2.02,?
VfB Stuttgart,Borussia Dortmund,2025-02-26,1.8,2.52,2.71,2
Persebaya,Arema FC,2025-02-23,2.71,3.42,2.82,X
RB Leipzig,Wolfsburg,2025-03-03,2.28,3.14,2.96,1
Juventus,Roma,2025-03-29,1.65,3.45,3.09,?
Napoli,Lazio,2025-04-01,2.02,3.29,3.36,?
Leeds United,Aston Villa,2025-04-06,2.56,3.11,2.61,?
São Paulo,Internacional,2025-02-16,2.54,3.18,1.93,1
Tottenham,West Ham United,2025-02-26,2.66,2.66,3.36,1
Real Madrid,Valencia,2025-02-19,3.33,3.38,3.22,X
Manchester City,Chelsea,2025-03-23,3.1,2.62,2.64,?
Manchester United,Manchester City,2025-04-03,3.21,2.57,3.3,?
Paris Saint-Germain,Marseille,2025-04-09,2.41,3.33,3.38,?
Roma,Napoli,2025-04-05,1.9,3.48,1.8,?
Fluminense,Sao Paulo,2025-02-21,3.24,3.35,3.04,X
Corinthians,Fluminense,2025-03-17,2.31,3.36,2.36,2
Bayer Leverkusen,Bayern Munich,2025-02-26,2.91,2.56,2.31,2
AC Milan,Napoli,2025-02-19,3.46,2.95,2.31,2
Monza,Spezia,2025-03-15,1.71,2.93,1.98,2
Corinthians,Flamengo,2025-03-21,1.75,2.52,2.09,?
Lazio,Fiorentina,2025-02-24,1.7,3.37,3.01,1
Valencia,Villarreal,2025-04-05,2.66,2.64,3.32,?
Tottenham,West Ham United,2025-03-14,3.45,2.76,1.73,X
Marseille,Nice,2025-03-25,1.87,2.97,2.68,?
Sassuolo,Empoli,2025-03-20,1.78,3.01,2.22,?
Celtic,Rangers,2025-03-07,3.04,2.94,2.93,X
Lazio,Inter,2025-02-16,2.32,3.11,3.16,2
FC Porto,Sporting CP,2025-02-18,3.27,2.98,2.36,X
Borussia Monchengladbach,Eintracht Frankfurt,2025-03-12,3.35,3.48,2.34,X
AC Milan,Napoli,2025-04-04,1.68,3.39,2.26,?
Bologna,Sampdoria,2025-02-28,3.15,2.81,2.1,2
Juventus,Roma,2025-04-14,2.12,2.94,3.46,?
Everton,Newcastle United,2025-02-22,1.64,3.16,2.59,2
Barcelona,Atletico Madrid,2025-03-24,1.94,3.33,1.68,?
Benfica,Portimonense,2025-04-09,1.87,3.47,1.73,?
Bayern Munich,Borussia Dortmund,2025-04-04,3.47,2.84,2.8,?
Fluminense,Sao Paulo,2025-03-21,1.86,2.58,3.13,?
Barcelona,Real Madrid,2025-03-30,1.94,2.63,2.65,?
Lazio,Inter,2025-04-09,2.87,3.09,1.79,?
PSG,Lyon,2025-03-06,3.13,3.46,1.89,X
Udinese,Salernitana,2025-04-06,2.78,3.44,2.98,?
Juventus,Roma,2025-03-28,1.71,2.58,2.14,?
PSG,Lyon,2025-04-14,2.83,2.66,2.33,?
Rangers,Aberdeen,2025-03-07,1.96,2.95,2.71,2
Juventus,Roma,2025-04-04,3.06,2.69,2.92,?
Leeds United,Aston Villa,2025-03-26,2.19,2.99,2.83,?
Flamengo,Vasco da Gama,2025-04-02,2.78,2.92,2.96,?
Hellas Verona,Torino,2025-04-02,1.54,2.55,2.8,?
Celtic,Rangers,2025-04-04,1.67,2.74,1.64,?
Torino,Cagliari,2025-03-29,2.4,2.68,2.5,?
Everton,Newcastle United,2025-04-05,2.39,2.99,2.4,?
Leeds United,Aston Villa,2025-03-04,1.6,2.87,2.79,2
AC Milan,Napoli,2025-03-03,2.37,3.15,2.36,2
AC Milan,Napoli,2025-03-15,1.68,3.01,2.05,1
Celtic,Rangers,2025-02-22,2.17,2.68,3.22,X
Villarreal,Real Betis,2025-02-27,1.56,3.42,2.59,1
Tottenham,West Ham United,2025-04-14,2.0,2.81,2.86,?
Palmeiras,São Paulo,2025-03-25,2.13,2.65,2.02,?
AC Milan,Juventus,2025-03-24,2.44,3.46,2.7,?
Paris Saint-Germain,Marseille,2025-03-09,2.17,3.24,2.04,X
Roma,Napoli,2025-02-24,1.83,3.04,2.45,1
Vélez Sarsfield,Boca Juniors,2025-04-13,2.63,2.79,2.67,?
Bayern Munich,Borussia Dortmund,2025-04-11,2.16,3.22,1.73,?
Chelsea,Liverpool,2025-02-22,2.04,2.93,1.67,2
Atlético Madrid,Sevilla,2025-03-25,2.74,3.05,2.47,?
Torino,Cagliari,2025-03-02,3.41,3.14,1.7,X
São Paulo,Internacional,2025-03-02,2.45,2.9,1.76,2
Santos,Gremio,2025-03-17,3.07,3.45,2.83,1
Tottenham,West Ham United,2025-02-28,2.86,2.7,1.89,X
Lazio,Fiorentina,2025-04-14,2.48,2.56,2.15,?
Paris Saint-Germain,Marseille,2025-04-13,3.19,2.77,2.28,?
Milan,Inter,2025-02-27,2.92,2.86,2.06,1
AC Milan,Juventus,2025-04-04,2.02,3.25,2.17,?
Celtic,Rangers,2025-02-18,3.3,3.36,2.18,X
Napoli,Lazio,2025-03-20,2.79,2.75,1.62,?
Sevilla,Real Betis,2025-04-13,2.61,3.27,1.76,?
Everton,Newcastle United,2025-03-10,2.59,2.52,3.47,1
Udinese,Salernitana,2025-03-07,1.85,2.64,3.02,X
Juventus,Roma,2025-03-04,3.38,2.75,2.63,X
Fiorentina,Atalanta,2025-03-16,2.03,3.28,1.7,X
Palmeiras,Corinthians,2025-03-16,2.99,3.32,1.8,X
Tottenham,West Ham United,2025-03-21,2.2,2.8,1.91,?
Hellas Verona,Torino,2025-02-22,3.04,3.36,1.96,1
Valencia,Villarreal,2025-02-24,2.74,2.56,2.11,X
Fiorentina,Atalanta,2025-04-06,2.98,2.9,1.93,?
Parma,Verona,2025-02-22,2.46,3.16,2.9,1
AC Milan,Juventus,2025-04-14,2.83,3.08,3.28,?
Lazio,Inter,2025-03-11,1.92,2.53,2.89,1
Flamengo,Vasco da Gama,2025-03-11,2.98,3.27,2.35,1
Barcelona,Real Madrid,2025-03-10,3.05,2.85,3.06,2
Maritimo,Boavista,2025-04-10,3.38,3.14,2.16,?
Tottenham,West Ham United,2025-03-14,1.99,3.4,3.15,X
Atlético Madrid,Sevilla,2025-03-23,1.93,3.01,1.72,?
Santos,Gremio,2025-04-05,1.78,2.9,2.08,?
Tottenham,West Ham United,2025-03-22,3.43,2.54,2.76,?
Tottenham,West Ham United,2025-03-01,1.65,2.58,2.25,1
Sevilla,Real Betis,2025-04-16,2.77,3.48,2.05,?
Napoli,Lazio,2025-03-08,1.66,3.03,2.75,2
Fiorentina,Atalanta,2025-03-31,2.03,2.7,3.48,?
Bayer Leverkusen,Bayern Munich,2025-03-09,3.0,3.44,1.79,1
Barcelona,Atletico Madrid,2025-03-09,2.84,2.99,2.2,1
Hellas Verona,Torino,2025-02-20,3.17,3.45,3.04,1
Benfica,Portimonense,2025-03-12,3.28,3.34,3.27,1
FC Porto,Sporting CP,2025-04-09,2.55,2.93,3.12,?
Roma,Napoli,2025-02-21,3.12,3.42,2.13,1
Fluminense,Sao Paulo,2025-04-08,3.12,3.15,3.18,?
Marseille,Nice,2025-02-17,2.01,3.09,2.79,2
Vélez Sarsfield,Boca Juniors,2025-02-23,1.98,2.65,2.44,1
Paris Saint-Germain,Marseille,2025-04-13,2.96,3.34,2.08,?
Leeds United,Aston Villa,2025-03-22,1.51,2.76,1.54,?
Bologna,Sampdoria,2025-03-24,2.08,3.16,2.8,?
São Paulo,Internacional,2025-03-22,3.49,2.75,2.5,?
FC Porto,Sporting CP,2025-04-16,2.32,3.15,2.68,?
Bayern Munich,Borussia Dortmund,2025-03-26,3.1,3.36,2.09,?
Lazio,Inter,2025-04-05,1.53,3.07,2.49,?
Celtic,Rangers,2025-03-15,3.35,2.59,1.58,X
Sevilla,Real Betis,2025-02-23,2.75,3.03,3.2,1
Bayern Munich,Borussia Dortmund,2025-04-08,2.44,2.84,2.18,?
Fiorentina,Atalanta,2025-04-01,1.78,2.86,3.4,?
Real Madrid,Valencia,2025-04-10,1.79,3.31,1.83,?
Sassuolo,Empoli,2025-03-27,2.63,2.91,2.83,?
São Paulo,Internacional,2025-03-07,3.29,2.62,3.37,2
Palmeiras,Corinthians,2025-03-17,2.93,3.22,2.73,1
Borussia Monchengladbach,Eintracht Frankfurt,2025-02-17,1.58,2.52,3.13,1
Roma,Napoli,2025-02-18,2.08,2.84,2.13,X
São Paulo,Internacional,2025-04-01,3.4,2.61,2.77,?
Maritimo,Boavista,2025-02-23,2.63,3.06,3.02,1
Corinthians,Fluminense,2025-02-23,3.22,3.11,2.48,1
Marseille,Nice,2025-03-13,1.69,3.07,3.3,1
Parma,Verona,2025-03-11,3.46,2.76,3.18,X
Lazio,Inter,2025-02-22,3.19,2.58,3.16,2
Bayern Munich,Borussia Dortmund,2025-03-02,2.4,3.13,2.93,2
São Paulo,Internacional,2025-02-28,2.8,2.8,1.7,2
Manchester City,Chelsea,2025-04-03,3.12,2.57,1.59,?
Barcelona,Real Madrid,2025-04-09,3.14,2.51,1.54,?
Bayern Munich,Borussia Dortmund,2025-03-30,3.23,3.34,2.05,?
Benfica,Portimonense,2025-02-25,2.49,3.21,1.57,1
Manchester United,Manchester City,2025-03-28,2.01,3.12,1.61,?
Santos,Gremio,2025-04-05,2.33,2.77,2.34,?
Everton,Newcastle United,2025-04-12,2.33,2.78,2.39,?
Manchester United,Manchester City,2025-04-09,3.28,2.94,2.24,?
Palmeiras,São Paulo,2025-04-01,2.37,3.41,1.74,?
PSG,Lyon,2025-03-04,1.87,2.74,3.32,1
Parma,Verona,2025-03-17,3.05,2.7,2.07,1
Roma,Napoli,2025-04-17,2.37,2.64,2.85,?
Benfica,Portimonense,2025-04-17,1.83,3.38,3.22,?
Everton,Newcastle United,2025-03-23,1.8,2.89,2.37,?
AC Milan,Napoli,2025-04-17,3.02,3.29,3.32,?
PSG,Lyon,2025-04-15,1.53,3.26,2.03,?
Juventus,Roma,2025-03-23,3.11,2.52,1.63,?
Real Madrid,Valencia,2025-04-05,1.61,2.89,2.42,?
Bologna,Sampdoria,2025-04-12,2.82,2.76,2.51,?
Manchester United,Manchester City,2025-02-17,3.27,2.8,3.07,1
Marseille,Nice,2025-02-23,2.2,2.51,2.88,1
Palmeiras,São Paulo,2025-02-26,3.42,3.05,2.56,1
Paris Saint-Germain,Marseille,2025-03-13,2.78,3.18,1.78,1
Real Madrid,Valencia,2025-02-25,2.22,2.76,1.64,1
AC Milan,Napoli,2025-03-19,1.63,2.91,1.58,?
Udinese,Salernitana,2025-03-24,1.65,3.01,2.57,?
Atlético Madrid,Sevilla,2025-03-04,3.44,3.24,3.36,2
Barcelona,Atletico Madrid,2025-02-16,2.2,3.34,2.04,X
Fluminense,Sao Paulo,2025-02-20,2.84,3.5,2.66,X
Sassuolo,Empoli,2025-02-23,2.34,3.38,2.02,2
Roma,Napoli,2025-04-10,1.97,3.04,1.55,?
Santos,Gremio,2025-03-27,1.73,2.82,3.44,?
Juventus,Roma,2025-04-13,2.44,3.11,3.2,?
Chelsea,Liverpool,2025-04-10,3.32,2.73,3.28,?
Rangers,Aberdeen,2025-02-25,2.95,3.3,2.77,1
Palmeiras,São Paulo,2025-03-19,2.94,2.69,3.49,?
Borussia Monchengladbach,Eintracht Frankfurt,2025-04-10,2.85,2.62,2.86,?
Real Madrid,Valencia,2025-04-14,2.78,2.95,2.73,?
AC Milan,Napoli,2025-02-28,1.84,3.42,3.39,X
AC Milan,Juventus,2025-04-14,2.55,3.27,1.82,?
Real Sociedad,Athletic Bilbao,2025-04-09,1.62,2.76,2.87,?
AC Milan,Napoli,2025-04-17,2.92,3.28,2.09,?
Fiorentina,Atalanta,2025-03-04,1.94,2.8,2.37,1
Napoli,Lazio,2025-03-13,1.83,2.78,3.32,X
AC Milan,Juventus,2025-04-09,2.42,2.82,2.9,?
Napoli,Lazio,2025-03-13,2.87,2.58,2.6,2
Benfica,Portimonense,2025-04-01,3.11,2.88,2.57,?
Celtic,Rangers,2025-02-27,2.73,2.96,2.78,1
RB Leipzig,Wolfsburg,2025-02-22,2.17,3.38,3.06,1
Torino,Cagliari,2025-04-03,3.3,2.91,2.42,?
Monza,Spezia,2025-04-01,3.28,2.79,2.84,?
Monza,Spezia,2025-02-16,2.89,3.16,3.29,2
Lazio,Inter,2025-03-26,2.94,2.98,1.89,?
Corinthians,Flamengo,2025-03-05,1.56,2.62,1.62,2
Bayer Leverkusen,Bayern Munich,2025-03-03,2.23,2.76,2.51,2
RB Leipzig,Wolfsburg,2025-03-13,3.11,3.33,3.4,2
Bayer Leverkusen,Bayern Munich,2025-03-22,2.19,2.95,1.8,?
VfB Stuttgart,Borussia Dortmund,2025-02-26,3.35,2.76,2.27,1
Lazio,Fiorentina,2025-02-23,3.11,3.44,2.96,X
Barcelona,Atletico Madrid,2025-03-11,3.27,2.67,3.17,X
Fiorentina,Atalanta,2025-03-03,2.99,2.88,1.89,1
Lazio,Inter,2025-04-09,2.0,3.26,2.99,?
Paris Saint-Germain,Marseille,2025-04-01,2.01,2.83,3.04,?
Fluminense,Sao Paulo,2025-03-31,2.86,3.36,2.24,?
Chelsea,Liverpool,2025-03-05,2.73,2.89,1.63,1
Vélez Sarsfield,Boca Juniors,2025-02-23,2.46,3.4,3.22,2
AC Milan,Napoli,2025-03-29,2.1,3.35,1.68,?
Persebaya,Arema FC,2025-03-10,2.61,2.63,2.59,X
Real Madrid,Valencia,2025-03-06,2.31,3.25,3.41,X
Real Sociedad,Athletic Bilbao,2025-03-13,3.24,3.16,3.13,X
Palmeiras,São Paulo,2025-03-25,2.49,3.36,2.5,?
Manchester City,Chelsea,2025-03-27,1.7,2.58,1.91,?
Torino,Cagliari,2025-03-19,2.12,2.58,2.23,?
Boca Juniors,River Plate,2025-04-03,2.73,3.24,3.0,?
Sassuolo,Empoli,2025-03-25,2.48,3.04,3.0,?
Paris Saint-Germain,Marseille,2025-03-03,2.58,2.98,2.16,1
Juventus,Roma,2025-03-08,3.49,3.29,1.66,X
Torino,Cagliari,2025-03-01,2.53,3.21,2.12,1
Palmeiras,Corinthians,2025-03-29,1.7,3.11,1.68,?
São Paulo,Internacional,2025-03-16,2.34,3.15,2.24,X
Santos,Gremio,2025-03-08,1.8,3.11,2.11,2
Fluminense,Sao Paulo,2025-02-28,3.32,2.67,1.8,1
Sevilla,Real Betis,2025-03-19,1.72,2.93,2.37,?
Atlético Madrid,Sevilla,2025-04-12,2.82,2.97,3.32,?
Arsenal,Tottenham,2025-02-21,1.56,2.69,1.99,X
Manchester United,Manchester City,2025-04-13,3.04,3.09,1.98,?
Sevilla,Real Betis,2025-04-07,3.46,3.27,3.32,?
PSG,Lyon,2025-02-28,3.48,3.17,2.75,2
Paris Saint-Germain,Marseille,2025-02-17,1.62,2.53,2.77,2
Hellas Verona,Torino,2025-02-24,3.43,3.26,3.17,2
PSG,Lyon,2025-02-28,1.7,3.15,2.87,X
Palmeiras,Corinthians,2025-03-29,2.72,2.92,3.29,?
Corinthians,Flamengo,2025-04-11,3.22,2.94,2.54,?
Lazio,Fiorentina,2025-03-26,1.75,3.44,3.31,?
RB Leipzig,Wolfsburg,2025-04-07,1.66,2.58,2.71,?
Arsenal,Tottenham,2025-03-24,2.1,2.66,3.36,?
Real Madrid,Valencia,2025-03-12,2.9,3.16,2.32,1
PSG,Lyon,2025-04-14,3.06,3.39,2.33,?
Paris Saint-Germain,Marseille,2025-02-17,2.06,2.84,2.95,X
